phone_number,domestic,friendly_name,locality,region,iso_country,bn_dn_count,bn_dn_pct,digital_root,longest_repeat_run,longest_bn_dn_run,trailing4
+15717711779,5717711779,(571) 771-1779,Washington Zone,VA,US,8,0.8,7,2,8,1779
+17747711774,7747711774,(774) 771-1774,Brewster,MA,US,8,0.8,7,2,6,1774
+13377171770,3377171770,(337) 717-1770,Crowley,LA,US,7,0.7,7,2,7,1770
+12727771175,2727771175,(272) 777-1175,Galilee,PA,US,7,0.7,1,3,6,1175
+12727771775,2727771775,(272) 777-1775,Galilee,PA,US,7,0.7,7,3,6,1775
+15014177111,5014177111,(501) 417-7111,Judsonia,AR,US,7,0.7,1,3,6,7111
+17067177719,7067177719,(706) 717-7719,Rutledge,GA,US,7,0.7,7,3,6,7719
+16197711779,6197711779,(619) 771-1779,La Mesa,CA,US,7,0.7,1,2,6,1779
+19472177117,9472177117,(947) 217-7117,Southfield,MI,US,7,0.7,1,2,6,7117
+16167377711,6167377711,(616) 737-7711,Saranac,MI,US,7,0.7,1,3,5,7711
+17016071777,7016071777,(701) 607-1777,,US,US,7,0.7,7,3,5,1777
+17755777118,7755777118,(775) 577-7118,Silver Springs,NV,US,7,0.7,1,3,5,7118
+17755777172,7755777172,(775) 577-7172,Silver Springs,NV,US,7,0.7,1,3,5,7172
+17758711172,7758711172,(775) 871-1172,Nixon,NV,US,7,0.7,1,3,5,1172
+12174077177,2174077177,(217) 407-7177,Pittsfield,IL,US,7,0.7,7,2,5,7177
+17747711756,7747711756,(774) 771-1756,Brewster,MA,US,7,0.7,7,2,5,1756
+17747711786,7747711786,(774) 771-1786,Brewster,MA,US,7,0.7,1,2,5,1786
+18175871711,8175871711,(817) 587-1711,Alvarado,TX,US,7,0.7,1,2,5,1711
+19707171707,9707171707,(970) 717-1707,Hayden,CO,US,7,0.7,1,1,5,1707
+13517771120,3517771120,(351) 777-1120,Hubbardston,MA,US,6,0.6,7,3,6,1120
+14405177717,4405177717,(440) 517-7717,Avon,OH,US,6,0.6,7,3,6,7717
+16592177711,6592177711,(659) 217-7711,,AL,US,6,0.6,1,3,6,7711
+18632777111,8632777111,(863) 277-7111,Mulberry,FL,US,6,0.6,7,3,6,7111
+19805771117,9805771117,(980) 577-1117,,US,US,6,0.6,1,3,6,1117
+12236771771,2236771771,(223) 677-1771,Reedsville,PA,US,6,0.6,7,2,6,1771
+16208771771,6208771771,(620) 877-1771,Hillsboro,KS,US,6,0.6,1,2,6,1771
+19497717179,9497717179,(949) 771-7179,Irvine,CA,US,6,0.6,7,2,6,7179
+15677771219,5677771219,(567) 777-1219,Toledo,OH,US,6,0.6,7,4,5,1219
+12706771112,2706771112,(270) 677-1112,Columbus,KY,US,6,0.6,7,3,5,1112
+12727771148,2727771148,(272) 777-1148,Galilee,PA,US,6,0.6,1,3,5,1148
+12727771706,2727771706,(272) 777-1706,Galilee,PA,US,6,0.6,1,3,5,1706
+12727771766,2727771766,(272) 777-1766,Galilee,PA,US,6,0.6,7,3,5,1766
+12727771784,2727771784,(272) 777-1784,Galilee,PA,US,6,0.6,7,3,5,1784
+15676777115,5676777115,(567) 677-7115,Van Buren,OH,US,6,0.6,7,3,5,7115
+15706711178,5706711178,(570) 671-1178,Shenandoah,PA,US,6,0.6,7,3,5,1178
+15732977111,5732977111,(573) 297-7111,Wappapello Park,MO,US,6,0.6,7,3,5,7111
+16578371117,6578371117,(657) 837-1117,,US,US,6,0.6,1,3,5,1117
+16812771110,6812771110,(681) 277-1110,Hundred,WV,US,6,0.6,7,3,5,1110
+17177734091,7177734091,(717) 773-4091,Harrisburg,PA,US,6,0.6,1,3,5,4091
+17402477111,7402477111,(740) 247-7111,Letart Falls,OH,US,6,0.6,7,3,5,7111
+18723711170,8723711170,(872) 371-1170,Chicago,US,US,6,0.6,1,3,5,1170
+19122077711,9122077711,(912) 207-7711,Screven,GA,US,6,0.6,1,3,5,7711
+19127711180,9127711180,(912) 771-1180,Saint Simons Island,GA,US,6,0.6,1,3,5,1180
+12183077177,2183077177,(218) 307-7177,Embarrass,MN,US,6,0.6,7,2,5,7177
+12198371177,2198371177,(219) 837-1177,,US,US,6,0.6,1,2,5,1177
+12315977117,2315977117,(231) 597-7117,Cheboygan,MI,US,6,0.6,7,2,5,7117
+13377171941,3377171941,(337) 717-1941,Crowley,LA,US,6,0.6,7,2,5,1941
+14139377117,4139377117,(413) 937-7117,Lee,MA,US,6,0.6,7,2,5,7117
+14148677171,4148677171,(414) 867-7171,Milwaukee Zone,WI,US,6,0.6,1,2,5,7171
+14752711772,4752711772,(475) 271-1772,Milford,CT,US,6,0.6,7,2,5,1772
+15513671171,5513671171,(551) 367-1171,,US,US,6,0.6,1,2,5,1171
+16575711776,6575711776,(657) 571-1776,,US,US,6,0.6,7,2,5,1776
+17177165615,7177165615,(717) 716-5615,Mountville,PA,US,6,0.6,1,2,5,5615
+17177166164,7177166164,(717) 716-6164,Mountville,PA,US,6,0.6,1,2,5,6164
+17177167925,7177167925,(717) 716-7925,Mountville,PA,US,6,0.6,7,2,5,7925
+17343071711,7343071711,(734) 307-1711,Trenton,MI,US,6,0.6,7,2,5,1711
+17656271711,7656271711,(765) 627-1711,Greentown,IN,US,6,0.6,7,2,5,1711
+18106571711,8106571711,(810) 657-1711,Carsonville,MI,US,6,0.6,1,2,5,1711
+18163271171,8163271171,(816) 327-1171,Agency,MO,US,6,0.6,1,2,5,1171
+18573671711,8573671711,(857) 367-1711,,US,US,6,0.6,1,2,5,1711
+19706717114,9706717114,(970) 671-7114,Collbran,CO,US,6,0.6,7,2,5,7114
+19707171158,9707171158,(970) 717-1158,Hayden,CO,US,6,0.6,1,2,5,1158
+19897877177,9897877177,(989) 787-7177,West Branch,MI,US,6,0.6,7,2,5,7177
+19207171721,9207171721,(920) 717-1721,Manitowoc,WI,US,6,0.6,1,1,5,1721
+19707171734,9707171734,(970) 717-1734,Hayden,CO,US,6,0.6,1,1,5,1734
+17177271443,7177271443,(717) 727-1443,Harrisburg City Zone,PA,US,6,0.6,7,2,4,1443
+17177278031,7177278031,(717) 727-8031,Harrisburg City Zone,PA,US,6,0.6,7,2,4,8031
+17177397947,7177397947,(717) 739-7947,Spring Grove,PA,US,6,0.6,7,2,4,7947
+17177885417,7177885417,(717) 788-5417,Waynesboro,PA,US,6,0.6,1,2,4,5417
+17177885774,7177885774,(717) 788-5774,Waynesboro,PA,US,6,0.6,7,2,4,5774
+14094077771,4094077771,(409) 407-7771,Westbury,TX,US,5,0.5,1,4,5,7771
+12409771112,2409771112,(240) 977-1112,,US,US,5,0.5,7,3,5,1112
+12542711174,2542711174,(254) 271-1174,Eastland,TX,US,5,0.5,7,3,5,1174
+16092077111,6092077111,(609) 207-7111,Beach Haven,NJ,US,5,0.5,7,3,5,7111
+18024711173,8024711173,(802) 471-1173,Vergennes,VT,US,5,0.5,7,3,5,1173
+18036771110,8036771110,(803) 677-1110,Camden,SC,US,5,0.5,7,3,5,1110
+19203671117,9203671117,(920) 367-1117,Denmark,WI,US,5,0.5,1,3,5,1117
+13203071171,3203071171,(320) 307-1171,Braham,MN,US,5,0.5,7,2,5,1171
+13377171089,3377171089,(337) 717-1089,Crowley,LA,US,5,0.5,1,2,5,1089
+14407717796,4407717796,(440) 771-7796,Hillcrest,OH,US,5,0.5,7,2,5,7796
+14632877177,4632877177,(463) 287-7177,,US,US,5,0.5,7,2,5,7177
+15717712520,5717712520,(571) 771-2520,Washington Zone,VA,US,5,0.5,1,2,5,2520
+15865717115,5865717115,(586) 571-7115,Center Line,MI,US,5,0.5,1,2,5,7115
+16067171195,6067171195,(606) 717-1195,Irvine,KY,US,5,0.5,7,2,5,1195
+16693717715,6693717715,(669) 371-7715,,US,US,5,0.5,7,2,5,7715
+16822771712,6822771712,(682) 277-1712,Arlington,TX,US,5,0.5,7,2,5,1712
+19362377177,9362377177,(936) 237-7177,Huntington,TX,US,5,0.5,7,2,5,7177
+19894871711,9894871711,(989) 487-1711,Farwell,MI,US,5,0.5,1,2,5,1711
+16067171729,6067171729,(606) 717-1729,Irvine,KY,US,5,0.5,1,1,5,1729
+19207171709,9207171709,(920) 717-1709,Manitowoc,WI,US,5,0.5,7,1,5,1709
+17177484764,7177484764,(717) 748-4764,Saint Thomas,PA,US,5,0.5,1,2,4,4764
+17177597846,7177597846,(717) 759-7846,Glen Rock,PA,US,5,0.5,7,2,4,7846
